Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1875,34.1,37.9,48.4,55.0,66.7,75.6,80.7,72.9,67.8,55.0,49.5,48.1,57.6
1876,46.8,45.1,45.8,59.7,68.3,75.8,81.3,79.1,69.1,56.4,46.9,30.2,58.7
1877,36.3,44.5,46.7,58.6,65.6,75.4,79.5,76.2,69.5,60.5,46.6,47.5,58.9
1878,38.5,43.6,55.4,62.5,68.0,72.4,82.5,80.0,70.3,59.8,49.7,35.1,59.8
1879,37.4,38.8,51.7,57.5,70.0,74.9,82.3,75.0,67.3,66.4,51.8,47.2,60.0
1880,52.4,44.7,50.5,62.2,72.0,75.8,77.8,79.3,68.3,59.8,41.2,35.4,60.0
1881,34.3,41.9,46.5,57.3,72.4,77.7,81.9,82.6,75.6,66.8,50.6,47.0,61.2
1882,42.9,51.4,55.0,61.5,64.3,76.6,76.3,76.1,71.2,66.9,50.5,39.0,61.0
1883,38.8,45.1,47.3,60.4,66.7,76.8,77.6,75.1,70.0,63.6,51.3,44.2,59.7
1884,30.5,46.4,49.7,57.0,68.8,73.8,78.7,76.0,75.0,66.0,48.5,40.4,59.2
1885,33.7,33.1,42.9,59.7,66.0,76.3,79.5,78.4,71.5,56.7,49.4,40.5,57.3
1886,29.3,35.1,47.4,58.8,69.0,73.2,77.8,77.1,71.7,59.7,46.3,34.8,56.7
1887,37.5,48.6,49.8,59.3,70.6,74.8,81.0,78.8,72.3,57.0,48.0,38.6,59.7
1888,36.9,41.8,47.1,62.3,66.4,75.3,79.8,78.4,68.1,56.4,49.7,40.4,58.6
1889,40.0,37.8,50.4,60.1,65.9,72.1,78.2,75.0,68.6,57.2,47.7,56.4,59.1
1890,49.0,49.2,45.7,60.3,65.9,79.7,80.0,75.2,70.2,59.3,53.6,42.6,60.9
1891,40.5,46.2,46.1,60.7,65.4,78.2,75.1,75.4,72.1,58.7,47.0,47.1,59.4
1892,33.0,46.3,44.1,58.9,67.4,77.2,77.3,76.3,70.0,61.2,46.6,38.0,58.0
1893,32.7,41.7,48.3,62.5,66.2,74.9,81.0,77.5,71.4,58.8,47.5,42.2,58.7
